id,nome,foto
16,Borussia Dortmund,https://tmssl.akamaized.net/images/wappen/big/16.png
46,Inter de Milão,https://tmssl.akamaized.net/images/wappen/big/46.png
131,FC Barcelona,https://tmssl.akamaized.net/images/wappen/big/131.png
167,FC Augsburg,https://tmssl.akamaized.net/images/wappen/big/167.png
244,Olympique Marselha,https://tmssl.akamaized.net/images/wappen/big/244.png
330,Atlético Mineiro,https://tmssl.akamaized.net/images/wappen/big/330.png
366,Real Valladolid CF,https://tmssl.akamaized.net/images/wappen/big/366.png
515,Sem clube,https://tmssl.akamaized.net/images/wappen/big/515.png
533,TSG 1899 Hoffenheim,https://tmssl.akamaized.net/images/wappen/big/533.png
537,Botafogo FR,https://tmssl.akamaized.net/images/wappen/big/537.png
609,Cruzeiro EC,https://tmssl.akamaized.net/images/wappen/big/609.png
679,Athletico Paranaense,https://tmssl.akamaized.net/images/wappen/big/679.png
703,Nottingham Forest,https://tmssl.akamaized.net/images/wappen/big/703.png
776,Coritiba FC,https://tmssl.akamaized.net/images/wappen/big/776.png
1023,SE Palmeiras,https://tmssl.akamaized.net/images/wappen/big/1023.png
1061,Los Angeles Galaxy,https://tmssl.akamaized.net/images/wappen/big/1061.png
1075,SC Braga,https://tmssl.akamaized.net/images/wappen/big/1075.png
1247,Colorado Rapids,https://tmssl.akamaized.net/images/wappen/big/1247.png
2029,Ceará SC,https://tmssl.akamaized.net/images/wappen/big/2029.png
2035,Avaí FC,https://tmssl.akamaized.net/images/wappen/big/2035.png
2288,Swansea City AFC,https://tmssl.akamaized.net/images/wappen/big/2288.png
2424,Gil Vicente Futebol Clube,https://tmssl.akamaized.net/images/wappen/big/2424.png
2431,CF Estrela Amadora,https://tmssl.akamaized.net/images/wappen/big/2431.png
2863,América Mineiro,https://tmssl.akamaized.net/images/wappen/big/2863.png
4773,Ituano FC,https://tmssl.akamaized.net/images/wappen/big/4773.png
6321,Vancouver Whitecaps FC,https://tmssl.akamaized.net/images/wappen/big/6321.png
7178,Criciúma EC,https://tmssl.akamaized.net/images/wappen/big/7178.png
7788,Académico de Viseu FC,https://tmssl.akamaized.net/images/wappen/big/7788.png
8793,RB Bragantino,https://tmssl.akamaized.net/images/wappen/big/8793.png
10010,EC Bahia,https://tmssl.akamaized.net/images/wappen/big/10010.png
10331,FC Porto B,https://tmssl.akamaized.net/images/wappen/big/10331.png
10870,Fortaleza EC,https://tmssl.akamaized.net/images/wappen/big/10870.png
12321,Girona FC,https://tmssl.akamaized.net/images/wappen/big/12321.png
15172,Atlético Goianiense,https://tmssl.akamaized.net/images/wappen/big/15172.png
16653,Botafogo FR U20,https://tmssl.akamaized.net/images/wappen/big/16653.png
45457,Pafos FC,https://tmssl.akamaized.net/images/wappen/big/45457.png
59024,Rodina Moscow,https://tmssl.akamaized.net/images/wappen/big/59024.png
60529,Shabab Al-Ahli Club,https://tmssl.akamaized.net/images/wappen/big/60529.png
